Default (English);日本語;Francais
Rakuten;楽天;Rakuten
Rakuten Settings;楽天設定;Réglages généraux du Plugin Rakuten
Application ID / Developer ID;アプリID/デベロッパーID;Application ID / Developer ID
Secret Key;秘密鍵;Secret Key
Affiliate ID;アフィリエイトID;Affiliate ID
Images size;画像のサイズ;Taille des images
Width;幅（必須）;Largeur
Height;高さ（必須）;Hauteur
Save Changes;変更を保存;Enregistrer les modifications
Add a Product;製品を追加;Ajouter un produit
Search product items;製品を検索;Rechercher un produit
Search product items…;製品を検索...;Rechercher un produit…
Search;検索;Rechercher
Product details;製品の詳細;Détails du produit
Insert into post;投稿に挿入;Insérer dans l’article
Media Library;メディアライブラリ;Bibliothèque de médias
View on Rakuten;Rakutenで表示;Voir sur Rakuten
Clear;クリア;Effacer
Edit Selection;選択範囲を編集;Modifier la sélection
 selected;点を選択済; sélection(s)
Maximum number of pages;最大ページ数;Nombre maximum de pages
HTML Template;HTMLテンプレート;Template HTML
CSS Style;CSSスタイル;CSS Style
Settings saved.;設定を保存しました。;Options enregistrées.
Dismiss this notice.;この通知を非表示にする;Ne pas tenir compte de ce message
Do not forget to configure the Ad Rakuten Plugin.;楽天プラグインを設定することを忘れないでください。;Ne pas oublier de configurer le plugin Rakuten.
Plugin: Ad Rakuten;楽天プラグイン;Plugin: Ad Rakuten
Settings;設定;Configurer
